rozklad,n,k,metoda,czas,liczba porównań punktów,liczba porównań współrzędnych,liczba punktów niezdominowanych
jednostajny,100,2,klasyczna,0.002030300092883408,1841,2144,8
jednostajny,100,2,filtracja,0.0003902000607922673,336,504,8
jednostajny,100,2,punkt_idealny,0.00048159994184970856,159,283,8
jednostajny,100,2,klasyczna,0.0021049000788480043,1849,2330,6
jednostajny,100,2,filtracja,0.0003426000475883484,322,486,6
jednostajny,100,2,punkt_idealny,0.0003869000356644392,161,276,6
jednostajny,100,2,klasyczna,0.0017365000676363707,1689,2373,9
jednostajny,100,2,filtracja,0.00030529999639838934,287,425,9
jednostajny,100,2,punkt_idealny,0.0003391999052837491,141,257,9
jednostajny,100,2,klasyczna,0.0011770999990403652,1151,1427,5
jednostajny,100,2,filtracja,0.0002720999764278531,247,366,5
jednostajny,100,2,punkt_idealny,0.0003331999760121107,146,253,5
jednostajny,100,2,klasyczna,0.0010903000365942717,1078,1277,4
jednostajny,100,2,filtracja,0.0003032999811694026,294,440,4
jednostajny,100,2,punkt_idealny,0.00031109992414712906,116,221,4
jednostajny,100,2,klasyczna,0.0015669999411329627,1529,2208,4
jednostajny,100,2,filtracja,0.00021329999435693026,208,314,4
jednostajny,100,2,punkt_idealny,0.0002994999522343278,106,203,4
jednostajny,100,2,klasyczna,0.0014224000042304397,1371,1798,6
jednostajny,100,2,filtracja,0.00024770002346485853,238,354,6
jednostajny,100,2,punkt_idealny,0.00036479998379945755,123,230,6
jednostajny,100,2,klasyczna,0.002018400002270937,1895,2469,3
jednostajny,100,2,filtracja,0.0002188000362366438,207,312,3
jednostajny,100,2,punkt_idealny,0.0007105999393388629,104,200,3
jednostajny,100,2,klasyczna,0.0019066000822931528,1808,2352,5
jednostajny,100,2,filtracja,0.00037729996256530285,357,544,5
jednostajny,100,2,punkt_idealny,0.0003839000128209591,128,238,5
jednostajny,100,2,klasyczna,0.0018748999573290348,1796,2383,5
jednostajny,100,2,filtracja,0.00026620004791766405,255,390,5
jednostajny,100,2,punkt_idealny,0.0003179999766871333,122,222,5
jednostajny,100,2,klasyczna,0.0014331999700516462,1368,1750,7
jednostajny,100,2,filtracja,0.00030049995984882116,291,430,7
